Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,102.5,103.6,103.8,100.7,108.73,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7158882
Feb-20,99.4,100.5,102.9,99.6,97.55,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.91084856
Mar-20,95.2,99.4,101.5,98,85.42,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.28719166
Apr-20,92.5,96.9,95.8,99.6,81.18,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.37794367
May-20,91.1,95.4,94.4,98,77.77,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3449709
Jun-20,93.3,94.8,98.3,97.3,86.61,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.32209371
Jul-20,94,92.2,101.8,97.3,93.2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.08501363
Aug-20,95.9,92.2,102.1,99.2,98.7,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14985654
Sep-20,98,91.5,102.3,104.3,104.6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.14390207
Oct-20,101.4,91.8,104.5,112.1,106.45,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.42218618
Nov-20,105.6,93.3,105.4,114.8,121.9,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.59134395
Dec-20,108.6,94.8,109.2,116.4,131.2,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.83158516
Jan-21,113.5,96,111.2,125,138.87,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5145487
Feb-21,116.6,97.8,113.1,126.1,147.46,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9204815
Mar-21,119.2,100.8,117.5,123.9,159.3,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4023489
Apr-21,122.1,104.3,119.1,126.2,162.19,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0268952
May-21,128.1,107.4,121.1,133.7,174.88,106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7209779
Jun-21,125.3,110.7,119.9,130.3,157.68,107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0743131
Jul-21,124.6,114.1,116.7,126.3,155.5,109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.26424277
Aug-21,128,113.4,116.2,130.4,165.86,120.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6144012
Sep-21,129.2,112.7,118.1,132.8,168.57,121.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8732916
Oct-21,133.2,112,121.5,137.1,184.84,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0330154
Nov-21,135.3,112.5,126,141.4,184.56,120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4413567
Dec-21,133.7,111,129,140.5,178.51,116.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9523308
Jan-22,135.6,112.1,132.6,140.6,185.93,112.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.7573745
Feb-22,141.1,113.4,141.5,145.3,201.72,110.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3055253
Mar-22,159.7,119.3,145.8,170.1,251.83,117.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-22,158.3,121.4,146.7,169.7,237.53,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-22,157.4,122,141.6,173.4,229.25,120.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
